"実行/デバッグ","Run SimpleTest","⇧⌥X G","ウィンドウ"
"ソース","行のインデント","⌘I","JavaScript ソースの編集中"
"タスク・エディター","タスクのサブミット","⇧⌥S","タスク・エディター"
"実行/デバッグ","インスペクション","⇧⌘I","PHP デバッグ中"
"リファクタリング - JavaScript","名前変更 - リファクタリング ","⌥⌘R","JavaScript ビュー"
"ナビゲート","次のメンバーへジャンプ","⌃⌥↓","スクリプト・ソースの編集中"
"リファクタリング - PHP","ActionDefinition.renameElement.name","⇧⌥V","PHP ソースの編集中"
"JavaScript デバッグ","評価","⇧⌥E","JavaScript ソースの編集中"
"ウィンドウ","キー・アシストを表示","⇧⌘L","ダイアログまたはウィンドウ"
"テキスト編集","次の単語を削除","⌥⌦","テキストの編集"
"ソース","クイック・アシスト - ファイル内の名前変更","⌘2 R","JavaScript ソースの編集中"
"ソース","「囲む」クイック・メニュー","⌥⌘Z","ウィンドウ"
"テキスト編集","前の単語","⌥←","テキストの編集"
"ビュー","ビューの表示 (検索)","⌥⌘Q S","ウィンドウ"
"実行/デバッグ","再開","F8","デバッグ"
"編集","フォーマット","⇧⌘F","PHP ソースの編集中"
"ウィンドウ","前のパースペクティブ","⇧⌘F8","ウィンドウ"
"テキスト編集","行のスクロールアップ","Esc Z","テキストの編集"
"ビュー","ビューの表示 (コンソール)","⌥⌘Q C","ウィンドウ"
"テキスト編集","現在行の上に行を挿入","⇧⌘↩","テキストの編集"
"ナビゲート","宣言を開く","F3","ウィンドウ"
"編集","一致するタグ","⇧⌃.","構造化テキスト・エディターで編集"
"ナビゲート","前のメンバーへジャンプ","⌃⌥↑","JavaScript ソースの編集中"
"テキスト編集","ツールチップ説明の表示","F2","テキストの編集"
"ナビゲート","型階層を開く","F4","JavaScript ビュー"
"テキスト編集","テキストの先頭","⌥<","テキストの編集"
"AnyEdit ツール","スペースをタブに","⌃⌥Tab","テキストの編集"
"編集","コンテンツ・アシスト","⌃Space","ダイアログまたはウィンドウ"
"実行/デバッグ","メモリー・モニター・ペインを切り替え","⌘T","メモリー・ビュー内"
"ファイル","すべて閉じる","⌃X ⌃C","ウィンドウ"
"ビュー","ズームイン","⌘=","ウィンドウ"
"リファクタリング - JavaScript","移動 - リファクタリング ","⌥⌘V","JavaScript ビュー"
"実行/デバッグ","Java アプレットのデバッグ","⌃⌥⌘D A","ウィンドウ"
"ソース","出現箇所のマーク","⇧⌥O","PHP ソースの編集中"
"AnyEdit ツール","大文字に変更","⌃⌥U","テキストの編集"
"ソース","ソース・クイック・メニューを表示","⌥⌘S","JavaScript ビュー"
"リファクタリング - PHP","名前変更 - リファクタリング ","⌥⌘R","ウィンドウ"
"SVN","パッチの作成...","⌃⌥P","ウィンドウ"
"ナビゲート","Maven POM を開く","⇧⌥P","ウィンドウ"
"編集","挿入モードの切り替え","⇧⌘Insert","テキストの編集"
"スクリプト・ソース","コメントの切り替え","⇧⌘C","スクリプト・ソースの編集中"
"ビュー","ズームアウト","⌘-","ウィンドウ"
"ソース","コメントの切り替え","⌘7","プロパティー・ファイルの編集中"
"ビュー","ビューの表示 (変数)","⌥⌘Q V","ウィンドウ"
"編集","次の要素を選択","⇧⌃→","Java ソースの編集"
"テキスト編集","テキストの先頭","Esc <","テキストの編集"
"実行/デバッグ","指定行まで実行","⌘R","デバッグ"
"実行/デバッグ","インスペクション","⇧⌘I","PHP デバッグ中"
"テキスト編集","行のスクロールダウン","⌃Z","テキストの編集"
"テキスト編集","マークの交換","⌃X ⌃X","テキストの編集"
"ウィンドウ","アクティブ・ビューまたはエディターの最大化","⌃M","ウィンドウ"
"リファクタリング - Java","メソッドの抽出","⌥⌘M","ウィンドウ"
"ソース","コメントの切り替え","⌘7","JavaScript ソースの編集中"
"ナビゲート","すべて展開","⇧⌘Numpad_Multiply","ウィンドウ"
"編集","切り取り","⌘X","ダイアログまたはウィンドウ"
"スクリプト・ソース","コメントの切り替え","⌘/","スクリプト・ソースの編集中"
"編集","コンテンツ・アシスト","⌥/","ダイアログまたはウィンドウ"
"AnyEdit ツール","小文字に変更","⌃⌥L","テキストの編集"
"タスク","タスクを未完了としてマーク","⇧⌥I","タスク・ビュー"
"実行/デバッグ","Java アプリケーションのデバッグ","⌃⌥⌘D J","ウィンドウ"
"ナビゲート","クイック階層","⌘T","スクリプト・ソースの編集中"
"テキスト編集","行の末尾","⌃E","テキストの編集"
"ウィンドウ","次のエディター","⌘F6","ウィンドウ"
"編集","コンテキスト情報","⇧⌃Space","ダイアログまたはウィンドウ"
"リファクタリング - Java","インライン化","⌥⌘I","ウィンドウ"
"ソース","インデントの訂正","⌘I","Java ソースの編集"
"ビュー","ビューの表示 (型階層)","⌥⌘Q T","ウィンドウ"
"ソース","ブロック・コメントの除去","⇧⌘\","Java ソースの編集"
"編集","やり直し","⇧⌃+","ウィンドウ"
"ナビゲート","対応する大括弧にジャンプ","⇧⌘P","PHP ソースの編集中"
"DBViewer","次の SQL ヒストリー","⌃⌥→","ウィンドウ"
"テキスト編集","1 行上へ","⌃P","テキストの編集"
"テキスト編集","縮小","⌘Numpad_Subtract","テキストの編集"
"DBViewer","選択した SQL を実行","⇧⌃↩","ウィンドウ"
"ナビゲート","次へ","⌘.","ウィンドウ"
"LimyEclipse","選択したフィールドの setter メソッドを生成","⌃C ⌃X ⌃S","ウィンドウ"
"テキスト編集","上書きの切り替え","Insert","テキストの編集"
"ソース","コメントの切り替え","⌘/","Java ソースの編集"
"ナビゲート","選択を開く","F3","ウィンドウ"
"編集","すべて選択","⌃X H","ダイアログまたはウィンドウ"
"ナビゲート","外部 JSDoc を開く","⇧F2","JavaScript ビュー"
"編集","ブロック選択の切り替え","⌥⌘A","テキストの編集"
"編集","前回の選択を復元","⇧⌃↓","JavaScript ソースの編集中"
"ファイル","すべて保管","⌃X S","ウィンドウ"
"テキスト編集","前の単語を削除","⌥⌫","テキストの編集"
"リファクタリング - PHP","名前変更 - リファクタリング ","⇧⌥R","ウィンドウ"
"テキスト編集","次の単語を選択","⇧⌥→","テキストの編集"
"検索","ワークスペース内の参照","⇧⌘G","スクリプト・ソースの編集中"
"テキスト編集","前の単語を選択","⇧⌥←","テキストの編集"
"ナビゲート","対応する大括弧にジャンプ","⇧⌘P","JavaScript ソースの編集中"
"ナビゲート","ヒストリーを戻る","⌥⌘←","ウィンドウ"
"ウィンドウ","クイック・アクセス","⌘3","ウィンドウ"
"SVN","リポジトリーと同期化","⌃⌥S","ウィンドウ"
"テキスト編集","次の単語","Esc F","テキストの編集"
"ウィンドウ","「システム・メニュー」を表示","⇧⌘F10","ウィンドウ"
"ビュー","ビューの表示 (PHP エクスプローラー)","⌥⌘Q P","ウィンドウ"
"ナビゲート","呼び出し階層を開く","⌃⌥H","ウィンドウ"
"実行/デバッグ","JUnit テストの実行","⌥⌘X T","ウィンドウ"
"テキスト編集","テキストの末尾","⌘↘","テキストの編集"
"ナビゲート","呼び出し階層を開く","⌥⌘H","ウィンドウ"
"ビュー","ビューの表示 (虎の巻)","⌥⌘Q H","ウィンドウ"
"WindowBuilder Pro","Empty command","⇧⌘A","WindowBuilder Java scope"
"タスク","タスクを既読としてマークし、次の未読タスクへジャンプ","⇧⌥↓","タスク・ビュー"
"ソース","出現箇所の注釈の除去","⌥⌘U","Java ソースの編集"
"テキスト編集","マークの設定","⌃Space","テキストの編集"
"タスク","タスクを既読としてマークし、前の未読タスクへジャンプ","⇧⌥↑","タスク・ビュー"
"編集","削除","⌦","ウィンドウ"
"リファクタリング - DLTK","リファクタリング・クイック・メニューの表示","⌥⌘T","スクリプト・ソースの編集中"
"タスク","タスクを完了としてマーク","⇧⌥C","タスク・ビュー"
"ウィンドウ","ルーラー・コンテキスト・メニューの表示","⌘F10","テキストの編集"
"テキスト編集","行の先頭まで切り取り","⌥0 ⌃K","テキストの編集"
"編集","元に戻す","F9","ウィンドウ"
"編集","次の兄弟","⇧⌃↓","構造化テキスト・エディターで編集"
"実行/デバッグ","表示","⇧⌘D","スクリプトのデバッグ中"
"ファイル","プロパティー","⌥↩","ウィンドウ"
"編集","アクティブ要素のフォーマット","⌘I","構造化テキスト・エディターで編集"
"テキスト編集","ページダウン","⌃V","テキストの編集"
"ウィンドウ","次のビュー","⌘F7","ウィンドウ"
"ナビゲート","選択を開く","F3","PHP ソースの編集中"
"フォーカス UI","コンテキスト・クイック・ビューの表示","⇧⌥⌘→","ウィンドウ"
"ナビゲート","次ページ","⌥F7","ウィンドウ"
"テキスト編集","構造のリセット","⇧⌘Numpad_Multiply","テキストの編集"
"ビュー","ビューの表示 (ヒストリー)","⌥⌘Q Z","ウィンドウ"
"ファイル","新規メニュー","⌥⌘N","ウィンドウ"
"リファクタリング - PHP","ActionDefinition.renameElement.name","⌥⌘V","ウィンドウ"
"リファクタリング - JavaScript","関数シグニチャーの変更","⌥⌘C","JavaScript ビュー"
"ビュー","ビューの表示 ()","⌥⌘Q J","JavaScript ビュー"
"テキスト編集","ページアップ","Esc V","テキストの編集"
"実行/デバッグ","インスペクション","⇧⌘I","スクリプトのデバッグ中"
"編集","ブロック・コメントの追加","⌘/","構造化テキスト・エディターで編集"
"編集","アクティブ要素のフォーマット","⌘I","PHP ソースの編集中"
"編集","一致するタグ","⇧⌘>","構造化テキスト・エディターで編集"
"ナビゲート","対応する大括弧にジャンプ","⇧⌘P","スクリプト・ソースの編集中"
"SVN","注釈の表示...","⌃⌥A","ウィンドウ"
"テキスト編集","テキストの先頭まで選択","⇧↖","テキストの編集"
"編集","選択を開く","F3","構造化テキスト・エディターで編集"
"ナビゲート","リモートのタスクを開く","⇧⌥⌘F12","ウィンドウ"
"編集","貼り付け","⌘V","ダイアログまたはウィンドウ"
"ナビゲート","宣言を開く","F3","JavaScript ビュー"
"ウィンドウ","「ビューの表示」メニュー","⌘F10","ダイアログまたはウィンドウ"
"実行/デバッグ","強制リターン","⌥⌘F","ウィンドウ"
"ソース","外部ドキュメンテーションを開く","⇧F2","Ant ビルド・ファイルの編集"
"ファイル","保管","⌘S","ウィンドウ"
"テキスト編集","テキストの先頭","⇧⌥<","テキストの編集"
"編集","フォーマット","⇧⌘F","ウィンドウ"
"ビュー","ビューの表示 (パッケージ・エクスプローラー)","⌥⌘Q P","ウィンドウ"
"タスク","タスクを既読としてマーク","⇧⌥R","タスク・ビュー"
"リファクタリング - PHP","ActionDefinition.renameElement.name","⌥⌘V","PHP ソースの編集中"
"実行/デバッグ","ステップイン","F5","デバッグ"
"編集","逆インクリメンタル検索","⇧⌘J","テキストの編集"
"Quick JUnit","JUnit デバッグ","⇧⌃0","テキストの編集"
"ウィンドウ","提供プラグインの表示","⇧⌥F3","ダイアログまたはウィンドウ"
"編集","検索と置換","Esc R","ウィンドウ"
"ファイル","印刷","Esc F9","ウィンドウ"
"テキスト編集","1 行上へ移動","⌥↑","テキストの編集"
"ナビゲート","タスクの非アクティブ化","⇧⌘F9","ウィンドウ"
"テキスト編集","行のスクロールアップ","⌃↑","テキストの編集"
"編集","コメントの切り替え","⌘7","PHP ソースの編集中"
"実行/デバッグ","すべてのインスタンス","⇧⌘N","ウィンドウ"
"編集","ブロック・コメントの除去","⇧⌘\","構造化テキスト・エディターで編集"
"編集","要素コメントの生成 ","⇧⌘J","PHP ソースの編集中"
"Tomcat keys","Tomcat quick restart","⌥T","ウィンドウ"
"編集","やり直し","F10","ウィンドウ"
"ナビゲート","タスクをアクティブにする","⌘F9","ウィンドウ"
"WindowBuilder Pro","Empty command","⌥⌘A","WindowBuilder Java scope"
"Git","コミット","⌘#","ウィンドウ"
"編集","フォーマット","⇧⌘F","構造化テキスト・エディターで編集"
"編集","Add Maven Dependency","⇧⌃D","XML ソースの編集"
"テキスト編集","マークのクリア","⌃G","テキストの編集"
"実行/デバッグ","ブレークポイントの切り替え","⇧⌘B","ウィンドウ"
"ナビゲート","Opens a method in a PHP editor","⇧⌘M","ウィンドウ"
"ビュー","ビューの表示 (アウトライン)","⌥⌘Q O","ウィンドウ"
"テキスト編集","行の先頭まで選択","⇧⌘←","テキストの編集"
"ナビゲート","構造を開く","⌘F3","Java ソースの編集"
"ウィンドウ","エディターをアクティブにする","⌘F12","ウィンドウ"
"実行/デバッグ","次のメモリー・モニター","⌥⌘N","メモリー・ビュー内"
"ナビゲート","次のサブ・タブ","⌥⇟","ダイアログまたはウィンドウ"
"ナビゲート","前のサブ・タブ","⌥⇞","ダイアログまたはウィンドウ"
"スクリプト・ソース","コメントの切り替え","⌘7","スクリプト・ソースの編集中"
"実行/デバッグ","Run Maven Build","⇧⌥X M","ウィンドウ"
"テキスト編集","行を複写","⌥⌘↑","テキストの編集"
"テキスト編集","テキストの末尾","⌥>","テキストの編集"
"実行/デバッグ","レンダリングを閉じる","⌘W","メモリー・ビュー内"
"実行/デバッグ","実行","⇧⌘F11","ウィンドウ"
"テキスト編集","前の単語","Esc B","テキストの編集"
"テキスト編集","テキストの先頭","↖","テキストの編集"
"Quick JUnit","JUnit デバッグ","⇧⌘0","テキストの編集"
"テキスト編集","前の列","⌃B","テキストの編集"
"編集","前の兄弟","⇧⌃↑","構造化テキスト・エディターで編集"
"ナビゲート","指定行へジャンプ","⌘G ⌘G","テキストの編集"
"LimyEclipse","選択したフィールドの getter メソッドを生成","⌃C ⌃X ⌃G","ウィンドウ"
"ソース","コメントの切り替え","⇧⌘C","プロパティー・ファイルの編集中"
"スクリプト・ソース","フォーマット","⇧⌘F","スクリプト・ソースの編集中"
"タスク","新規サブタスク","⇧Insert","タスク・ビュー"
"実行/デバッグ","Java アプレットの実行","⌥⌘X A","ウィンドウ"
"ナビゲート","クイック階層","⌘T","PHP ソースの編集中"
"ナビゲート","パンくずリストで表示","⌥⌘B","Java ソースの編集"
"ソース","出現箇所のマークのトグル","⌥⌘O","Java ソースの編集"
"ナビゲート","対応する大括弧にジャンプ","⇧⌘P","Java ソースの編集"
"編集","クイック Diff 切り替え","⇧⌃Q","テキストの編集"
"SVN","リポジトリーから最新","⌃⌥L","ウィンドウ"
"ナビゲート","呼び出し階層を開く","⌃⌥H","JavaScript ビュー"
"編集","検索と置換","⌘F","ウィンドウ"
"SVN","コミット...","⌃⌥C","ウィンドウ"
"編集","前の要素を選択","⇧⌃←","JavaScript ソースの編集中"
"ナビゲート","前へ","⇧⌘.","ウィンドウ"
"ファイル","閉じる","⌃X K","ウィンドウ"
"編集","すべて選択","⌘A","ダイアログまたはウィンドウ"
"ウィンドウ","エディターの即時切り替え","⌃X B","ウィンドウ"
"テキスト編集","行の先頭","⌘←","テキストの編集"
"タスク","新規サブタスク","⇧⌥N","タスク・ビュー"
"ソース","コメントの切り替え","⌘7","Java ソースの編集"
"実行/デバッグ","インスペクション","⇧⌘I","ダイアログまたはウィンドウ"
"ソース","コメントの切り替え","⇧⌘C","Java ソースの編集"
"ナビゲート","前ページ","⇧⌥F7","ウィンドウ"
"検索","ファイル・クイック・メニュー内での出現箇所を表示","⇧⌘U","ウィンドウ"
"テキスト編集","行のスクロールダウン","⌃↓","テキストの編集"
"テキスト編集","次の単語","⌥→","テキストの編集"
"Tomcat keys","Tomcat start,stop","⌥⌘T","ウィンドウ"
"実行/デバッグ","Debug RWT Application","⇧⌥D 3","ウィンドウ"
"実行/デバッグ","新規レンダリング","⌘N","メモリー・ビュー内"
"タスク","選択したタスクを開く","⌘↩","タスク・ビュー"
"ナビゲート","型階層を開く","F4","ウィンドウ"
"ソース","フォーマット","⇧⌘F","JavaScript ソースの編集中"
"ソース","インポートの編成","⇧⌘O","ウィンドウ"
"ナビゲート","型を開く","⇧⌘T","ウィンドウ"
"テキスト編集","すべて展開","⌘Numpad_Multiply","テキストの編集"
"編集","コピー","⌘C","ダイアログまたはウィンドウ"
"編集","Add Maven Plugin","⇧⌃P","XML ソースの編集"
"テキスト編集","大文字に変更","⇧⌘X","テキストの編集"
"AnyEdit ツール","カーソルの下のファイルを開く","⌃⌥R","テキストの編集"
"実行/デバッグ","実行","⌘U","ウィンドウ"
"ナビゲート","型を開く","⇧⌘T","ウィンドウ"
"編集","前の要素を選択","⇧⌃←","構造化テキスト・エディターで編集"
"ファイル","印刷","⌘P","ウィンドウ"
"テキスト編集","テキストの先頭","Esc ⇧<","テキストの編集"
"LimyEclipse","実装クラスのインターフェイスを自動生成","⌃C ⌃X ⌃I","ウィンドウ"
"テキスト編集","小文字に変更","⇧⌘Y","テキストの編集"
"ナビゲート","前の未読タスクへジャンプ","⌥↑","タスク・ビュー"
"テキスト編集","テキストの末尾","Esc >","テキストの編集"
"ファイル","名前変更","F2","ウィンドウ"
"テキスト編集","行の末尾","⌘→","テキストの編集"
"DBViewer","新規レコードの作成","⌃I","ウィンドウ"
"LimyEclipse","既存 getter/setter メソッドの Javadoc コメントを生成","⌃C ⌃X ⌃M","ウィンドウ"
"ナビゲート","呼び出し階層を開く","⌥⌘H","スクリプト・ソースの編集中"
"ビュー","ビューの表示 (PHP エクスプローラー)","⇧⌥Q E","ウィンドウ"
"SVN","マージ...","⌃⌥E","ウィンドウ"
